videoid,videoname,channelid,channelname,views,comments,likes,dislikes,adtype,advertiser,adfullurl,datecollected,dateuploaded,uploadts,testid,dataset
jPlpw0NDzcQ,,,,,,,,,,,1632414131,,,20210923155902,cur
Cj4geFn6XFQ,,,,,,,,,,,1632414148,,,20210923155902,cur
AyqJWzvgxxE,,,,,,,,,,,1632414204,,,20210923155902,cur
1CwdYmntLaE,,,,,,,,,,,1632414223,,,20210923155902,cur
2QICDGNg1Sw,,,,,,,,,,,1632414252,,,20210923155902,cur
b9wSISLCjBI,,,,,,,,,,,1632414255,,,20210923155902,cur
0erNrbsi_jA,,,,,,,,,,,1632414341,,,20210923155902,cur
k6uSMEdva74,,,,,,,,,,,1632414386,,,20210923155902,cur
1D9otK5i0fo,,,,,,,,,,,1632414402,,,20210923155902,cur
-Xzysjmge-g,,,,,,,,,,,1632414405,,,20210923155902,cur
F9iskV-K38M,,,,,,,,,,,1632414409,,,20210923155902,cur
5ZYfCndAtxE,,,,,,,,,,,1632414413,,,20210923155902,cur
RRuJjkZxoAk,,,,,,,,,,,1632414429,,,20210923155902,cur
0JQ9RSnd41w,,,,,,,,,,,1632414526,,,20210923155902,cur
5fw3UL8YSKY,,,,,,,,,,,1632414543,,,20210923155902,cur
AB5RXpVWpHM,,,,,,,,,,,1632414559,,,20210923155902,cur
0i-yKxzVpqg,,,,,,,,,,,1632414601,,,20210923155902,cur
IR-e9Q22sic,,,,,,,,,,,1632414619,,,20210923155902,cur
-PxzugWeddA,,,,,,,,,,,1632414646,,,20210923155902,cur
4lwNtQhmoPw,,,,,,,,,,,1632414662,,,20210923155902,cur
-YS0sDEc88k,,,,,,,,,,,1632414665,,,20210923155902,cur
5HsgrltFiHk,,,,,,,,,,,1632414683,,,20210923155902,cur
6abAhgacL4w,,,,,,,,,,,1632414700,,,20210923155902,cur
1vFh9zcTYoo,,,,,,,,,,,1632414759,,,20210923155902,cur
H-MFsyjy3OA,,,,,,,,,,,1632414775,,,20210923155902,cur
CrBUfyOfy6U,,,,,,,,,,,1632414779,,,20210923155902,cur
96Ge_de3i_k,,,,,,,,,,,1632414796,,,20210923155902,cur
